5 , Generation , 37 , Euclid , 1597.0808982278363
18 , Generation , 138 , Euclid , 67.1178031249452
18 , Generation , 139 , Euclid , 67.83899595161309
18 , Generation , 140 , Euclid , 0
18 , Generation , 141 , Euclid , 49.6046414949377
18 , Generation , 142 , Euclid , 0
18 , Generation , 143 , Euclid , 11.184543778670449
18 , Generation , 144 , Euclid , 5.121333428698537
18 , Generation , 145 , Euclid , 56.3992013881604
18 , Generation , 139 , Euclid , 135.67799190322614
17 , Generation , 137 , Euclid , 122.35842896426985
16 , Generation , 123 , Euclid , 228.58587931032883
14 , Generation , 107 , Euclid , 371.57708456505367
15 , Generation , 115 , Euclid , 391.74187350472795
13 , Generation , 98 , Euclid , 427.7005911406176
1 , Generation , 2 , Euclid , 612.6871328236871
12 , Generation , 93 , Euclid , 725.9449270645777
9 , Generation , 70 , Euclid , 776.4877920043464
11 , Generation , 84 , Euclid , 897.1563680404606
10 , Generation , 78 , Euclid , 946.4297542089754
2 , Generation , 11 , Euclid , 979.5235163794695
6 , Generation , 45 , Euclid , 1168.0511828101432
7 , Generation , 51 , Euclid , 1193.0597724624681
8 , Generation , 58 , Euclid , 1446.5823228800525
3 , Generation , 22 , Euclid , 1500.1159288476383
4 , Generation , 27 , Euclid , 1670.3356603821157
5 , Generation , 37 , Euclid , 1711.1581052441097
19 , Generation , 146 , Euclid , 0
19 , Generation , 147 , Euclid , 30.556193046632682
19 , Generation , 148 , Euclid , 0
19 , Generation , 149 , Euclid , 16.321862012928133
19 , Generation , 150 , Euclid , 0
19 , Generation , 151 , Euclid , 9.207632807336912
19 , Generation , 152 , Euclid , 19.45802894300587
19 , Generation , 153 , Euclid , 12.799384410002833
19 , Generation , 147 , Euclid , 61.112386093265265
17 , Generation , 137 , Euclid , 163.14457195235968
18 , Generation , 139 , Euclid , 203.51698785483927
16 , Generation , 123 , Euclid , 285.73234913791117
14 , Generation , 107 , Euclid , 433.50659865922904
15 , Generation , 115 , Euclid , 470.0902482056734
13 , Generation , 98 , Euclid , 488.80067558927715
1 , Generation , 2 , Euclid , 644.9338240249331
12 , Generation , 93 , Euclid , 816.6880429476495
9 , Generation , 70 , Euclid , 847.0775912774687
11 , Generation , 84 , Euclid , 996.840408933845
